Date,Time,Strategy,Strategy_Name,Symbol,Signal,CMP,Entry,SL,T1,T2,RR,Confidence,SQI,SQI_Grade,RS,Sector,Regime,Regime_Score,Regime_Fit,Data_Quality,Status,Exit_Date,Exit_Price,Exit_Reason,PnL_Pct
2026-07-30,12:23,VCP,VCP (Minervini v2),APOLLOHOSP,BUY,8988.0,9009.0,8695.3,9748.44,10944.94,6.2,44,43.0,WEAK,79.0,Healthcare,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-08-11,8695.3,Stop Loss Hit,-3.48
2026-07-30,12:23,VCP,VCP (Minervini v2),INDHOTEL,BUY,749.25,754.0,709.68,820.48,837.0,1.9,44,41.5,WEAK,80.0,Consumer Services,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-30,12:23,EMA21_Bounce,21 EMA Bounce,ICICIBANK,BUY,1433.9,1433.9,1406.37,1475.2,1480.0,1.7,45,57.8,MODERATE,77.0,Financial Services,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-08-14,1406.37,Stop Loss Hit,-1.92
2026-07-30,12:23,EMA21_Bounce,21 EMA Bounce,APOLLOHOSP,BUY,8988.0,8988.0,8769.63,9714.46,10889.96,8.0,50,53.3,MODERATE,79.0,Healthcare,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-08-04,8769.63,Stop Loss Hit,-2.43
2026-07-30,12:23,EMA21_Bounce,21 EMA Bounce,BAJFINANCE,BUY,1053.5,1053.5,1017.33,1107.75,1143.92,2.5,50,52.6,MODERATE,68.0,Financial Services,DISTRIBUTION,-1,BLOCKED,OK,TARGET,2026-07-31,1107.75,Target 1 Hit,5.15
2026-07-30,12:23,EMA21_Bounce,21 EMA Bounce,INDHOTEL,BUY,749.25,749.25,721.82,808.35,829.32,2.9,50,51.8,MODERATE,80.0,Consumer Services,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-08-10,721.82,Stop Loss Hit,-3.66
2026-07-30,12:23,EMA21_Bounce,21 EMA Bounce,INDIGO,BUY,5230.5,5230.5,5117.04,5400.69,5514.15,2.5,50,51.5,MODERATE,94.0,Services,DISTRIBUTION,-1,BLOCKED,OK,TARGET,2026-08-03,5400.69,Target 1 Hit,3.25
2026-07-30,12:23,EMA21_Bounce,21 EMA Bounce,BOSCHLTD,BUY,41550.0,41550.0,40458.21,43187.68,44279.47,2.5,50,47.0,WEAK,79.0,Automobile and Auto Components,DISTRIBUTION,-1,BLOCKED,OK,TARGET,2026-08-05,43187.68,Target 1 Hit,3.94
2026-07-30,12:23,EMA21_Bounce,21 EMA Bounce,MOTHERSON,BUY,146.72,146.72,143.09,152.16,155.79,2.5,45,44.4,WEAK,92.0,Automobile and Auto Components,DISTRIBUTION,-1,BLOCKED,OK,TARGET,2026-07-31,152.16,Target 1 Hit,3.71
2026-07-30,12:23,EMA21_Bounce,21 EMA Bounce,PETRONET,BUY,278.9,278.9,272.15,289.02,295.77,2.5,50,43.7,WEAK,47.0,Oil Gas & Consumable Fuels,DISTRIBUTION,-1,BLOCKED,OK,EXPIRED,2026-08-17,281.8,Expired (18d > 15d),1.04
2026-07-30,12:23,EMA21_Bounce,21 EMA Bounce,HAL,BUY,4581.4,4581.4,4471.93,4745.6,4808.6,2.1,50,42.9,WEAK,46.0,Capital Goods,DISTRIBUTION,-1,BLOCKED,OK,TARGET,2026-08-06,4745.6,Target 1 Hit,3.58
