Date,Time,Strategy,Strategy_Name,Symbol,Signal,CMP,Entry,SL,T1,T2,RR,Confidence,SQI,SQI_Grade,RS,Sector,Regime,Regime_Score,Regime_Fit,Data_Quality,Status,Exit_Date,Exit_Price,Exit_Reason,PnL_Pct
2026-07-07,13:11,VCP,VCP (Minervini v2),APOLLOHOSP,BUY,8837.0,8950.0,8343.08,9860.38,11296.1,3.9,81,58.6,MODERATE,74.0,Healthcare,ACCUMULATION,4,IDEAL,OK,EXPIRED,2026-08-03,8820.0,Expired (27d > 25d),-1.45
2026-07-07,13:11,VCP,VCP (Minervini v2),FEDERALBNK,BUY,331.55,334.3,316.61,369.65,426.85,5.2,87,58.6,MODERATE,72.0,Financial Services,ACCUMULATION,4,IDEAL,OK,TARGET,2026-08-03,369.65,Target 1 Hit,10.57
2026-07-07,13:11,VCP,VCP (Minervini v2),SBIN,BUY,1038.1,1059.8,1008.38,1136.93,1188.35,2.5,79,56.6,MODERATE,41.0,Financial Services,ACCUMULATION,4,IDEAL,OK,STOPPED,2026-07-23,1008.38,Stop Loss Hit,-4.85
2026-07-07,13:11,EMA21_Bounce,21 EMA Bounce,MARICO,BUY,847.65,847.65,821.88,886.3,913.93,2.6,55,56.2,MODERATE,64.0,Fast Moving Consumer Goods,ACCUMULATION,4,CAUTION,OK,EXPIRED,2026-07-23,853.2,Expired (16d > 15d),0.65
2026-07-07,13:11,52WH_Breakout,52-Week High Breakout,INDUSINDBK,BUY,1022.25,1022.25,1000.5,1054.88,1143.03,5.6,62,80.1,ELITE,89.0,Financial Services,ACCUMULATION,4,CAUTION,OK,STOPPED,2026-07-08,1000.5,Stop Loss Hit,-2.13
2026-07-07,13:11,52WH_Breakout,52-Week High Breakout,TITAN,BUY,4604.2,4604.2,4463.45,4815.32,5000.59,2.8,67,65.8,STRONG,45.0,Consumer Durables,ACCUMULATION,4,CAUTION,OK,TARGET,2026-07-28,4815.32,Target 1 Hit,4.59
2026-07-07,13:11,Failed_Breakout_Short,Failed Breakout Short,PRESTIGE,SHORT,1673.3,1673.3,1732.59,1584.36,1525.07,2.5,62,62.1,MODERATE,91.0,Realty,ACCUMULATION,4,CAUTION,OK,STOPPED,2026-07-10,1732.59,Stop Loss Hit,-3.54
2026-07-07,13:11,Failed_Breakout_Short,Failed Breakout Short,DLF,SHORT,651.1,651.1,689.37,593.7,555.43,2.5,57,61.5,MODERATE,69.0,Realty,ACCUMULATION,4,CAUTION,OK,STOPPED,2026-07-10,689.37,Stop Loss Hit,-5.88
2026-07-07,13:11,Failed_Breakout_Short,Failed Breakout Short,OBEROIRLTY,SHORT,1906.4,1906.4,2000.25,1765.63,1671.78,2.5,62,58.2,MODERATE,71.0,Realty,ACCUMULATION,4,CAUTION,OK,EXPIRED,2026-08-03,1861.1,Expired (27d > 25d),2.38
2026-07-07,13:11,Failed_Breakout_Short,Failed Breakout Short,ADANIENT,SHORT,3107.2,3107.2,3271.63,2860.55,2696.12,2.5,57,53.6,MODERATE,100.0,Metals & Mining,ACCUMULATION,4,CAUTION,OK,EXPIRED,2026-08-03,3068.0,Expired (27d > 25d),1.26
