Date,Time,Strategy,Strategy_Name,Symbol,Signal,CMP,Entry,SL,T1,T2,RR,Confidence,SQI,SQI_Grade,RS,Sector,Regime,Regime_Score,Regime_Fit,Data_Quality,Status,Exit_Date,Exit_Price,Exit_Reason,PnL_Pct
2026-06-04,13:53,EMA21_Bounce,21 EMA Bounce,SONACOMS,BUY,601.15,601.15,587.47,621.67,621.8,1.5,45,91.7,ELITE,100.0,Automobile and Auto Components,PANIC,-6,BLOCKED,OK,STOPPED,2026-06-08,587.47,Stop Loss Hit,-2.28
2026-06-04,13:53,EMA21_Bounce,21 EMA Bounce,STARHEALTH,BUY,526.25,526.25,514.19,544.34,556.4,2.5,45,90.5,ELITE,93.0,Financial Services,PANIC,-6,BLOCKED,OK,STOPPED,2026-06-08,514.19,Stop Loss Hit,-2.29
2026-06-04,13:53,EMA21_Bounce,21 EMA Bounce,BSE,BUY,4033.4,4033.4,3856.49,4298.9,4446.8,2.3,50,86.8,ELITE,100.0,Financial Services,PANIC,-6,BLOCKED,OK,STOPPED,2026-06-05,3856.49,Stop Loss Hit,-4.39
2026-06-04,13:53,EMA21_Bounce,21 EMA Bounce,BAJAJ-AUTO,BUY,10362.0,10362.0,10059.23,10816.16,11118.93,2.5,55,86.3,ELITE,82.0,Automobile and Auto Components,PANIC,-6,BLOCKED,OK,STOPPED,2026-06-12,10059.23,Stop Loss Hit,-2.92
2026-06-04,13:53,EMA21_Bounce,21 EMA Bounce,NAVINFLUOR,BUY,7090.5,7090.5,6910.71,7360.18,7525.0,2.4,50,86.0,ELITE,97.0,Chemicals,PANIC,-6,BLOCKED,OK,STOPPED,2026-06-08,6910.71,Stop Loss Hit,-2.54
2026-06-04,13:53,EMA21_Bounce,21 EMA Bounce,BIOCON,BUY,416.05,416.05,401.2,438.33,440.0,1.6,45,85.0,ELITE,84.0,Healthcare,PANIC,-6,BLOCKED,OK,EXPIRED,2026-06-22,421.1,Expired (18d > 15d),1.21
2026-06-04,13:53,EMA21_Bounce,21 EMA Bounce,AUROPHARMA,BUY,1463.6,1463.6,1412.86,1539.71,1550.0,1.7,45,84.7,ELITE,100.0,Healthcare,PANIC,-6,BLOCKED,OK,STOPPED,2026-06-15,1412.86,Stop Loss Hit,-3.47
2026-06-04,13:53,EMA21_Bounce,21 EMA Bounce,INDUSTOWER,BUY,430.45,430.45,420.17,445.87,456.15,2.5,50,83.6,ELITE,59.0,Telecommunication,PANIC,-6,BLOCKED,OK,STOPPED,2026-06-09,420.17,Stop Loss Hit,-2.39
2026-06-04,13:53,EMA21_Bounce,21 EMA Bounce,KEI,BUY,5296.0,5296.0,5106.11,5580.84,6135.86,4.4,45,75.1,STRONG,77.0,Capital Goods,PANIC,-6,BLOCKED,OK,TARGET,2026-06-17,5580.84,Target 1 Hit,5.38
2026-06-04,13:53,52WH_Breakout,52-Week High Breakout,NAM-INDIA,BUY,1129.1,1129.1,1106.14,1163.54,1334.77,8.0,37,48.9,WEAK,100.0,Financial Services,PANIC,-6,BLOCKED,OK,STOPPED,2026-06-05,1106.14,Stop Loss Hit,-2.03
2026-06-04,13:53,Last30Min_ATH,Near 52W High (EOD),BAJAJ-AUTO,BUY,10362.0,10362.0,10178.0,10638.0,10750.0,2.1,33,43.3,WEAK,82.0,Automobile and Auto Components,PANIC,-6,BLOCKED,OK,STOPPED,2026-06-08,10178.0,Stop Loss Hit,-1.78
2026-06-04,13:53,Failed_Breakout_Short,Failed Breakout Short,NMDC,SHORT,94.7,94.7,98.32,89.27,85.65,2.5,72,68.9,STRONG,100.0,Metals & Mining,PANIC,-6,IDEAL,OK,TARGET,2026-06-08,89.27,Target 1 Hit,5.73
2026-06-04,16:34,EMA21_Bounce,21 EMA Bounce,EMCURE,BUY,1745.2,1745.2,1662.6,1869.1,1951.7,2.5,50,93.8,ELITE,100.0,Healthcare,PANIC,-6,BLOCKED,OK,EXPIRED,2026-06-22,1791.0,Expired (18d > 15d),2.62
2026-06-04,16:34,EMA21_Bounce,21 EMA Bounce,GMDCLTD,BUY,676.85,676.85,656.91,708.2,746.45,3.5,50,90.5,ELITE,100.0,Metals & Mining,PANIC,-6,BLOCKED,OK,STOPPED,2026-06-05,656.91,Stop Loss Hit,-2.95
2026-06-04,16:34,EMA21_Bounce,21 EMA Bounce,PWL,BUY,106.46,106.46,86.73,136.05,155.78,2.5,50,90.0,ELITE,100.0,Consumer Services,PANIC,-6,BLOCKED,OK,EXPIRED,2026-06-22,126.16,Expired (18d > 15d),18.5
2026-06-04,16:34,EMA21_Bounce,21 EMA Bounce,IGIL,BUY,362.0,362.0,347.5,383.75,384.95,1.6,45,88.6,ELITE,88.0,Services,PANIC,-6,BLOCKED,OK,EXPIRED,2026-06-22,358.55,Expired (18d > 15d),-0.95
2026-06-04,16:34,EMA21_Bounce,21 EMA Bounce,ONESOURCE,BUY,1837.9,1837.9,1766.47,1945.04,2016.47,2.5,50,87.5,ELITE,100.0,Healthcare,PANIC,-6,BLOCKED,OK,STOPPED,2026-06-08,1766.47,Stop Loss Hit,-3.89
2026-06-04,16:34,EMA21_Bounce,21 EMA Bounce,CARBORUNIV,BUY,1028.6,1028.6,989.0,1088.0,1166.4,3.5,45,85.5,ELITE,100.0,Capital Goods,PANIC,-6,BLOCKED,OK,TARGET,2026-06-17,1088.0,Target 1 Hit,5.77
2026-06-04,16:34,EMA21_Bounce,21 EMA Bounce,RADICO,BUY,3502.4,3502.4,3401.47,3653.8,3679.0,1.7,50,85.5,ELITE,100.0,Fast Moving Consumer Goods,PANIC,-6,BLOCKED,OK,TARGET,2026-06-18,3653.8,Target 1 Hit,4.32
