Date,Time,Strategy,Strategy_Name,Symbol,Signal,CMP,Entry,SL,T1,T2,RR,Confidence,SQI,SQI_Grade,RS,Sector,Regime,Regime_Score,Regime_Fit,Data_Quality,Status,Exit_Date,Exit_Price,Exit_Reason,PnL_Pct
2026-07-01,13:31,VCP,VCP (Minervini v2),FEDERALBNK,BUY,331.4,332.0,305.51,371.74,420.83,3.4,85,71.4,STRONG,89.0,Financial Services,ACCUMULATION,3,IDEAL,OK,OPEN,,,,
2026-07-01,13:31,VCP,VCP (Minervini v2),ADANIGREEN,BUY,1535.0,1557.0,1443.15,1921.03,2510.08,8.0,85,67.5,STRONG,100.0,Power,ACCUMULATION,3,IDEAL,OK,OPEN,,,,
2026-07-01,13:31,VCP,VCP (Minervini v2),SBIN,BUY,1047.4,1055.4,988.04,1156.44,1223.8,2.5,79,64.7,MODERATE,49.0,Financial Services,ACCUMULATION,3,IDEAL,OK,OPEN,,,,
2026-07-01,13:31,EMA21_Bounce,21 EMA Bounce,GAIL,BUY,174.5,174.5,169.96,181.31,185.85,2.5,55,73.2,STRONG,86.0,Oil Gas & Consumable Fuels,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,13:31,EMA21_Bounce,21 EMA Bounce,YESBANK,BUY,24.58,24.58,23.72,25.87,26.73,2.5,55,72.9,STRONG,100.0,Financial Services,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,13:31,EMA21_Bounce,21 EMA Bounce,ADANIPORTS,BUY,1848.2,1848.2,1784.92,1943.12,2119.46,4.3,60,71.4,STRONG,100.0,Services,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,13:31,EMA21_Bounce,21 EMA Bounce,IDEA,BUY,14.64,14.64,14.09,15.47,16.02,2.5,60,70.9,STRONG,100.0,Telecommunication,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,13:31,EMA21_Bounce,21 EMA Bounce,AXISBANK,BUY,1368.7,1368.7,1331.11,1425.09,1462.68,2.5,55,70.9,STRONG,68.0,Financial Services,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,13:31,EMA21_Bounce,21 EMA Bounce,AUBANK,BUY,1051.4,1051.4,1007.05,1117.93,1162.28,2.5,55,70.7,STRONG,82.0,Financial Services,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,13:31,EMA21_Bounce,21 EMA Bounce,INDUSINDBK,BUY,941.6,941.6,908.79,990.82,1023.63,2.5,55,69.7,STRONG,82.0,Financial Services,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,13:31,EMA21_Bounce,21 EMA Bounce,ATGL,BUY,734.0,734.0,709.01,771.48,796.47,2.5,60,69.1,STRONG,100.0,Oil Gas & Consumable Fuels,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,13:31,EMA21_Bounce,21 EMA Bounce,EXIDEIND,BUY,390.35,390.35,380.74,404.77,409.8,2.0,60,67.7,STRONG,100.0,Automobile and Auto Components,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,13:31,EMA21_Bounce,21 EMA Bounce,SBIN,BUY,1047.4,1047.4,1013.08,1098.88,1133.2,2.5,55,66.1,STRONG,49.0,Financial Services,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,13:31,EMA21_Bounce,21 EMA Bounce,HAL,BUY,4434.4,4434.4,4312.05,4617.92,4740.27,2.5,55,65.9,STRONG,81.0,Capital Goods,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,13:31,EMA21_Bounce,21 EMA Bounce,UNIONBANK,BUY,174.88,174.88,169.49,182.96,188.35,2.5,55,64.8,MODERATE,43.0,Financial Services,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,13:31,EMA21_Bounce,21 EMA Bounce,METROPOLIS,BUY,541.6,541.6,520.56,573.16,594.2,2.5,60,63.2,MODERATE,95.0,Pharma,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,13:31,EMA21_Bounce,21 EMA Bounce,GRASIM,BUY,3140.4,3140.4,3057.52,3264.72,3347.6,2.5,60,62.1,MODERATE,85.0,Construction Materials,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,13:31,EMA21_Bounce,21 EMA Bounce,ASIANPAINT,BUY,2716.4,2716.4,2598.11,2893.84,3012.13,2.5,60,60.9,MODERATE,92.0,Consumer Durables,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,13:31,52WH_Breakout,52-Week High Breakout,ADANIENT,BUY,3143.6,3143.6,3065.05,3866.28,5035.66,8.0,57,84.1,ELITE,100.0,Metals & Mining,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,13:31,52WH_Breakout,52-Week High Breakout,PHOENIXLTD,BUY,2018.5,2018.5,1942.71,2328.43,2829.93,8.0,62,81.6,ELITE,100.0,Realty,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,13:31,Last30Min_ATH,Near 52W High (EOD),ADANIENT,BUY,3143.6,3143.6,3012.8,3866.28,5035.66,8.0,64,88.5,ELITE,100.0,Metals & Mining,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,13:31,Last30Min_ATH,Near 52W High (EOD),PHOENIXLTD,BUY,2018.5,2018.5,1948.0,2328.43,2829.93,8.0,64,86.0,ELITE,100.0,Realty,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,13:31,Last30Min_ATH,Near 52W High (EOD),NESTLEIND,BUY,1453.8,1453.8,1407.9,1522.65,1568.55,2.5,58,76.8,STRONG,84.0,Fast Moving Consumer Goods,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,16:07,EMA21_Bounce,21 EMA Bounce,J&KBANK,BUY,156.2,156.2,148.33,168.0,180.04,3.0,65,72.9,STRONG,100.0,Financial Services,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,16:07,EMA21_Bounce,21 EMA Bounce,ZEEL,BUY,108.31,108.31,102.02,117.74,124.03,2.5,60,71.2,STRONG,100.0,Media Entertainment & Publication,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,16:07,EMA21_Bounce,21 EMA Bounce,ELGIEQUIP,BUY,605.85,605.85,590.45,628.95,644.35,2.5,60,71.1,STRONG,93.0,Capital Goods,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,16:07,EMA21_Bounce,21 EMA Bounce,ADANIENSOL,BUY,1521.4,1521.4,1448.84,1630.24,1702.8,2.5,55,70.9,STRONG,100.0,Power,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,16:07,EMA21_Bounce,21 EMA Bounce,KARURVYSYA,BUY,300.1,300.1,288.77,319.35,322.0,1.9,60,70.3,STRONG,60.0,Financial Services,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,16:07,EMA21_Bounce,21 EMA Bounce,CAMS,BUY,792.2,792.2,773.65,820.03,836.0,2.4,55,67.6,STRONG,81.0,Financial Services,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,16:07,EMA21_Bounce,21 EMA Bounce,TITAGARH,BUY,890.7,890.7,860.55,971.0,1020.6,4.3,55,67.4,STRONG,100.0,Capital Goods,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,16:07,EMA21_Bounce,21 EMA Bounce,ANGELONE,BUY,340.4,340.4,322.47,367.29,385.22,2.5,55,66.4,STRONG,100.0,Financial Services,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,16:07,EMA21_Bounce,21 EMA Bounce,RAINBOW,BUY,1422.3,1422.3,1383.9,1495.0,1552.7,3.4,55,66.3,STRONG,87.0,Healthcare,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,16:07,EMA21_Bounce,21 EMA Bounce,DATAPATTNS,BUY,4533.5,4533.5,4376.24,4769.39,4955.9,2.7,55,62.9,MODERATE,100.0,Capital Goods,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,16:07,EMA21_Bounce,21 EMA Bounce,NIVABUPA,BUY,85.12,85.12,83.35,87.78,89.55,2.5,55,60.2,MODERATE,75.0,Financial Services,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,16:07,EMA21_Bounce,21 EMA Bounce,VTL,BUY,646.2,646.2,619.22,686.67,718.78,2.7,55,59.6,MODERATE,84.0,Textiles,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,16:07,EMA21_Bounce,21 EMA Bounce,ICICIAMC,BUY,3406.0,3406.0,3258.1,3627.85,3775.75,2.5,55,59.1,MODERATE,79.0,Financial Services,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,16:07,EMA21_Bounce,21 EMA Bounce,PREMIERENE,BUY,1051.6,1051.6,1023.84,1093.24,1103.9,1.9,60,54.5,MODERATE,64.0,Capital Goods,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,16:07,EMA21_Bounce,21 EMA Bounce,SPLPETRO,BUY,725.05,725.05,705.2,764.88,788.0,3.2,55,48.6,WEAK,36.0,Chemicals,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-01,16:07,EMA21_Bounce,21 EMA Bounce,CANHLIFE,BUY,140.39,140.39,136.29,146.54,150.64,2.5,60,48.0,WEAK,34.0,Financial Services,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
