Date,Time,Strategy,Strategy_Name,Symbol,Signal,CMP,Entry,SL,T1,T2,RR,Confidence,SQI,SQI_Grade,RS,Sector,Regime,Regime_Score,Regime_Fit,Data_Quality,Status,Exit_Date,Exit_Price,Exit_Reason,PnL_Pct
2026-08-20,11:17,VCP,VCP (Minervini v2),TITAN,BUY,5068.0,5168.0,4796.8,5920.82,7138.98,5.3,45,47.5,WEAK,93.0,Consumer Durables,PANIC,-4,BLOCKED,OK,OPEN,,,,
2026-08-20,11:17,VCP,VCP (Minervini v2),EICHERMOT,BUY,8042.0,8165.0,7755.03,8964.97,10259.42,5.1,45,42.7,WEAK,65.0,Automobile and Auto Components,PANIC,-4,BLOCKED,OK,OPEN,,,,
2026-08-20,11:17,VCP,VCP (Minervini v2),BAJAJ-AUTO,BUY,11793.0,11863.0,11248.97,13322.72,15684.72,6.2,42,31.5,WEAK,72.0,Automobile and Auto Components,PANIC,-4,BLOCKED,OK,OPEN,,,,
2026-08-20,11:17,VCP,VCP (Minervini v2),INDHOTEL,BUY,735.85,757.4,708.94,830.09,834.78,1.6,44,31.3,WEAK,68.0,Consumer Services,PANIC,-4,BLOCKED,OK,OPEN,,,,
2026-08-20,11:17,VCP,VCP (Minervini v2),PIDILITIND,BUY,1660.0,1707.5,1593.0,1885.31,2173.04,4.1,41,30.8,WEAK,72.0,Chemicals,PANIC,-4,BLOCKED,OK,OPEN,,,,
2026-08-20,11:17,EMA21_Bounce,21 EMA Bounce,ABB,BUY,7479.0,7479.0,7307.84,7735.74,7772.0,1.7,45,77.8,STRONG,75.0,Capital Goods,PANIC,-4,BLOCKED,OK,OPEN,,,,
2026-08-20,11:17,EMA21_Bounce,21 EMA Bounce,OFSS,BUY,11826.0,11826.0,11417.49,12438.76,12847.27,2.5,45,74.6,STRONG,94.0,Information Technology,PANIC,-4,BLOCKED,OK,OPEN,,,,
2026-08-20,11:17,EMA21_Bounce,21 EMA Bounce,LODHA,BUY,1240.0,1240.0,1194.28,1308.58,1354.3,2.5,50,74.0,STRONG,100.0,Realty,PANIC,-4,BLOCKED,OK,OPEN,,,,
2026-08-20,11:17,EMA21_Bounce,21 EMA Bounce,BAJFINANCE,BUY,1095.0,1095.0,1072.57,1176.4,1243.2,6.6,45,73.5,STRONG,83.0,Financial Services,PANIC,-4,BLOCKED,OK,OPEN,,,,
2026-08-20,11:17,EMA21_Bounce,21 EMA Bounce,ABCAPITAL,BUY,409.0,409.0,393.14,432.79,454.86,2.9,55,72.4,STRONG,80.0,Financial Services,PANIC,-4,BLOCKED,OK,OPEN,,,,
