Date,Time,Strategy,Strategy_Name,Symbol,Signal,CMP,Entry,SL,T1,T2,RR,Confidence,RS,Sector,Regime,Regime_Score,Regime_Fit,Status,Exit_Date,Exit_Price,Exit_Reason,PnL_Pct
2026-04-21,12:02,52WH_Breakout,52-Week High Breakout,NAM-INDIA,BUY,1055.35,1055.35,1001.52,1215.75,1475.3,7.8,62,100.0,Financial Services,ACCUMULATION,3,CAUTION,STOPPED,2026-04-21,1001.52,Stop Loss Hit,-5.1
2026-04-21,12:02,52WH_Breakout,52-Week High Breakout,NESTLEIND,BUY,1379.9,1379.9,1276.64,1534.79,1638.05,2.5,67,71.0,Fast Moving Consumer Goods,ACCUMULATION,3,CAUTION,STOPPED,2026-04-21,1276.64,Stop Loss Hit,-7.48
2026-04-21,12:02,Last30Min_ATH,Last 30 Min ATH,NAM-INDIA,BUY,1055.35,1055.35,999.6,1215.75,1475.3,7.5,64,100.0,Financial Services,ACCUMULATION,3,CAUTION,STOPPED,2026-04-21,999.6,Stop Loss Hit,-5.28
2026-04-21,12:02,Last30Min_ATH,Last 30 Min ATH,STARHEALTH,BUY,514.05,514.05,501.95,534.0,574.31,5.0,62,89.0,Financial Services,ACCUMULATION,3,CAUTION,STOPPED,2026-04-21,501.95,Stop Loss Hit,-2.35
2026-04-21,12:02,Last30Min_ATH,Last 30 Min ATH,BHEL,BUY,332.61,332.61,322.51,390.36,483.8,8.0,60,100.0,Capital Goods,ACCUMULATION,3,CAUTION,STOPPED,2026-04-21,322.51,Stop Loss Hit,-3.04
2026-04-21,12:02,Last30Min_ATH,Last 30 Min ATH,AUBANK,BUY,1037.9,1037.9,997.65,1165.36,1371.61,8.0,60,71.0,Financial Services,ACCUMULATION,3,CAUTION,STOPPED,2026-04-21,997.65,Stop Loss Hit,-3.88
2026-04-21,12:02,Last30Min_ATH,Last 30 Min ATH,ALKEM,BUY,5696.5,5696.5,5627.0,5800.75,5870.25,2.5,58,55.0,Healthcare,ACCUMULATION,3,CAUTION,STOPPED,2026-04-21,5627.0,Stop Loss Hit,-1.22
2026-04-21,12:02,Failed_Breakout_Short,Failed Breakout Short,OFSS,SHORT,7931.0,7931.0,8249.13,7453.81,7135.68,2.5,62,69.0,Information Technology,ACCUMULATION,3,CAUTION,TARGET,2026-04-21,7453.81,Target 1 Hit,6.02
2026-04-21,12:02,Failed_Breakout_Short,Failed Breakout Short,NAVINFLUOR,SHORT,6373.5,6373.5,6670.01,5928.74,5632.23,2.5,57,70.0,Chemicals,ACCUMULATION,3,CAUTION,OPEN,,,,
