Date,Time,Strategy,Strategy_Name,Symbol,Signal,CMP,Entry,SL,T1,T2,RR,Confidence,SQI,SQI_Grade,RS,Sector,Regime,Regime_Score,Regime_Fit,Data_Quality,Status,Exit_Date,Exit_Price,Exit_Reason,PnL_Pct
2026-07-03,12:52,EMA21_Bounce,21 EMA Bounce,YESBANK,BUY,24.39,24.39,23.82,25.38,25.78,2.4,60,71.7,STRONG,100.0,Financial Services,ACCUMULATION,3,CAUTION,OK,STOPPED,2026-07-08,23.82,Stop Loss Hit,-2.34
2026-07-03,12:52,EMA21_Bounce,21 EMA Bounce,BIOCON,BUY,426.8,426.8,412.79,447.82,461.83,2.5,60,69.6,STRONG,87.0,Healthcare,ACCUMULATION,3,CAUTION,OK,STOPPED,2026-07-07,412.79,Stop Loss Hit,-3.28
2026-07-03,12:52,EMA21_Bounce,21 EMA Bounce,DIVISLAB,BUY,6757.0,6757.0,6614.2,6971.2,7114.0,2.5,60,54.6,MODERATE,68.0,Healthcare,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-03,12:52,EMA21_Bounce,21 EMA Bounce,SCHAEFFLER,BUY,4162.1,4162.1,4020.79,4374.07,4515.38,2.5,60,54.4,MODERATE,62.0,Automobile and Auto Components,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-03,12:52,EMA21_Bounce,21 EMA Bounce,CHAMBLFERT,BUY,481.55,481.55,467.8,502.18,515.93,2.5,60,52.5,MODERATE,51.0,Chemicals,ACCUMULATION,3,CAUTION,OK,STOPPED,2026-07-07,467.8,Stop Loss Hit,-2.86
2026-07-03,12:52,52WH_Breakout,52-Week High Breakout,ABCAPITAL,BUY,401.25,401.25,394.72,448.37,524.62,8.0,62,89.1,ELITE,96.0,Financial Services,ACCUMULATION,3,CAUTION,OK,STOPPED,2026-07-08,394.72,Stop Loss Hit,-1.63
2026-07-03,12:52,52WH_Breakout,52-Week High Breakout,ZYDUSLIFE,BUY,1140.6,1140.6,1117.01,1295.22,1545.42,8.0,57,80.6,ELITE,97.0,Healthcare,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-03,12:52,52WH_Breakout,52-Week High Breakout,INDUSINDBK,BUY,974.35,974.35,942.08,1082.47,1257.41,8.0,62,80.1,ELITE,85.0,Financial Services,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-03,12:52,52WH_Breakout,52-Week High Breakout,OBEROIRLTY,BUY,1934.4,1934.4,1851.21,2158.98,2522.38,7.1,62,75.3,STRONG,91.0,Realty,ACCUMULATION,3,CAUTION,OK,STOPPED,2026-07-09,1851.21,Stop Loss Hit,-4.3
2026-07-03,12:52,Last30Min_ATH,Near 52W High (EOD),ABCAPITAL,BUY,401.25,401.25,393.85,448.37,524.62,8.0,64,93.5,ELITE,96.0,Financial Services,ACCUMULATION,3,CAUTION,OK,STOPPED,2026-07-08,393.85,Stop Loss Hit,-1.84
2026-07-03,12:52,Last30Min_ATH,Near 52W High (EOD),GMRAIRPORT,BUY,112.8,112.8,110.4,116.4,125.9,5.5,60,88.5,ELITE,84.0,Services,ACCUMULATION,3,CAUTION,OK,STOPPED,2026-07-08,110.4,Stop Loss Hit,-2.13
2026-07-03,12:52,Last30Min_ATH,Near 52W High (EOD),ADANIENT,BUY,3212.1,3212.1,3105.5,3961.61,5174.4,8.0,60,88.5,ELITE,100.0,Metals & Mining,ACCUMULATION,3,CAUTION,OK,STOPPED,2026-07-07,3105.5,Stop Loss Hit,-3.32
2026-07-03,12:52,Last30Min_ATH,Near 52W High (EOD),LAURUSLABS,BUY,1542.3,1542.3,1522.0,1833.26,2304.08,8.0,60,87.0,ELITE,100.0,Healthcare,ACCUMULATION,3,CAUTION,OK,STOPPED,2026-07-06,1522.0,Stop Loss Hit,-1.32
2026-07-03,12:52,Last30Min_ATH,Near 52W High (EOD),ZYDUSLIFE,BUY,1140.6,1140.6,1104.1,1295.22,1545.42,8.0,64,85.0,ELITE,97.0,Healthcare,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-03,12:52,Last30Min_ATH,Near 52W High (EOD),PHOENIXLTD,BUY,2047.6,2047.6,2011.1,2277.87,2650.47,8.0,60,84.5,ELITE,99.0,Realty,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-03,12:52,Last30Min_ATH,Near 52W High (EOD),INDUSINDBK,BUY,974.35,974.35,942.1,1082.47,1257.41,8.0,64,84.5,ELITE,85.0,Financial Services,ACCUMULATION,3,CAUTION,OK,OPEN,,,,
2026-07-03,12:52,Last30Min_ATH,Near 52W High (EOD),BIOCON,BUY,426.8,426.8,418.6,439.1,447.3,2.5,62,83.6,ELITE,87.0,Healthcare,ACCUMULATION,3,CAUTION,OK,STOPPED,2026-07-07,418.6,Stop Loss Hit,-1.92
