Date,Time,Strategy,Strategy_Name,Symbol,Signal,CMP,Entry,SL,T1,T2,RR,Confidence,SQI,SQI_Grade,RS,Sector,Regime,Regime_Score,Regime_Fit,Data_Quality,Status,Exit_Date,Exit_Price,Exit_Reason,PnL_Pct
2026-08-17,11:16,VCP,VCP (Minervini v2),EICHERMOT,BUY,8050.0,8165.0,7611.64,8995.04,10259.42,3.8,42,46.6,WEAK,82.0,Automobile and Auto Components,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-08-17,11:16,VCP,VCP (Minervini v2),BAJAJ-AUTO,BUY,11663.0,11863.0,11100.22,13322.72,15684.72,5.0,45,35.4,WEAK,67.0,Automobile and Auto Components,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-08-17,11:16,EMA21_Bounce,21 EMA Bounce,FEDERALBNK,BUY,354.1,354.1,346.22,365.92,370.43,2.1,50,53.3,MODERATE,95.0,Financial Services,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-08-17,11:16,EMA21_Bounce,21 EMA Bounce,LAURUSLABS,BUY,1809.7,1809.7,1740.21,1913.94,1983.43,2.5,45,52.6,MODERATE,100.0,Healthcare,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-08-17,11:16,EMA21_Bounce,21 EMA Bounce,DLF,BUY,671.0,671.0,646.61,707.58,746.64,3.1,50,52.6,MODERATE,80.0,Realty,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-08-17,11:16,EMA21_Bounce,21 EMA Bounce,LT,BUY,4086.7,4086.7,3970.31,4261.28,4377.67,2.5,45,51.6,MODERATE,56.0,Construction,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-08-17,11:16,EMA21_Bounce,21 EMA Bounce,GODREJPROP,BUY,2054.0,2054.0,1940.04,2224.94,2338.9,2.5,45,51.6,MODERATE,83.0,Realty,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-08-17,11:16,EMA21_Bounce,21 EMA Bounce,BAJFINANCE,BUY,1089.3,1089.3,1063.5,1176.4,1233.98,5.6,50,50.7,MODERATE,83.0,Financial Services,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-08-17,11:16,EMA21_Bounce,21 EMA Bounce,GRASIM,BUY,3250.5,3250.5,3169.45,3398.13,3411.1,2.0,50,41.6,WEAK,66.0,Construction Materials,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-08-17,11:16,EMA21_Bounce,21 EMA Bounce,NAM-INDIA,BUY,1202.7,1202.7,1140.91,1295.38,1357.17,2.5,45,41.2,WEAK,65.0,Financial Services,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
