Date,Time,Strategy,Strategy_Name,Symbol,Signal,CMP,Entry,SL,T1,T2,RR,Confidence,RS,Sector,Regime,Regime_Score,Regime_Fit,Status,Exit_Date,Exit_Price,Exit_Reason,PnL_Pct
2026-04-22,12:01,EMA21_Bounce,21 EMA Bounce,LINDEINDIA,BUY,7272.0,7272.0,6902.0,7827.0,8197.0,2.5,55,99.0,Chemicals,ACCUMULATION,3,CAUTION,OPEN,,,,
2026-04-22,12:01,EMA21_Bounce,21 EMA Bounce,ONGC,BUY,283.65,283.65,278.1,291.97,297.52,2.5,60,95.0,Oil Gas & Consumable Fuels,ACCUMULATION,3,CAUTION,OPEN,,,,
2026-04-22,12:01,EMA21_Bounce,21 EMA Bounce,GLENMARK,BUY,2240.0,2240.0,2150.31,2374.54,2464.23,2.5,55,84.0,Healthcare,ACCUMULATION,3,CAUTION,OPEN,,,,
2026-04-22,12:01,EMA21_Bounce,21 EMA Bounce,MARICO,BUY,772.5,772.5,747.1,810.6,812.18,1.6,55,63.0,Fast Moving Consumer Goods,ACCUMULATION,3,CAUTION,STOPPED,2026-04-22,747.1,Stop Loss Hit,-3.29
2026-04-22,12:01,52WH_Breakout,52-Week High Breakout,MOTHERSON,BUY,131.76,131.76,123.52,144.12,152.36,2.5,62,91.0,Automobile and Auto Components,ACCUMULATION,3,CAUTION,STOPPED,2026-04-22,123.52,Stop Loss Hit,-6.25
2026-04-22,12:01,52WH_Breakout,52-Week High Breakout,ADANIPOWER,BUY,215.65,215.65,203.22,269.76,357.31,8.0,62,100.0,Power,ACCUMULATION,3,CAUTION,STOPPED,2026-04-22,203.22,Stop Loss Hit,-5.76
2026-04-22,12:01,52WH_Breakout,52-Week High Breakout,SIEMENS,BUY,3844.3,3844.3,3719.97,4030.8,4473.61,5.1,62,100.0,Capital Goods,ACCUMULATION,3,CAUTION,STOPPED,2026-04-22,3719.97,Stop Loss Hit,-3.23
2026-04-22,12:01,Last30Min_ATH,Last 30 Min ATH,MOTHERSON,BUY,131.76,131.76,124.72,142.32,149.36,2.5,62,91.0,Automobile and Auto Components,ACCUMULATION,3,CAUTION,STOPPED,2026-04-22,124.72,Stop Loss Hit,-5.34
2026-04-22,12:01,Last30Min_ATH,Last 30 Min ATH,ADANIPOWER,BUY,215.65,215.65,203.3,269.76,357.31,8.0,64,100.0,Power,ACCUMULATION,3,CAUTION,STOPPED,2026-04-22,203.3,Stop Loss Hit,-5.73
2026-04-22,12:01,Last30Min_ATH,Last 30 Min ATH,NAM-INDIA,BUY,1060.1,1060.1,1040.05,1223.44,1487.74,8.0,60,100.0,Financial Services,ACCUMULATION,3,CAUTION,STOPPED,2026-04-22,1040.05,Stop Loss Hit,-1.89
2026-04-22,12:01,Last30Min_ATH,Last 30 Min ATH,TORNTPOWER,BUY,1657.4,1657.4,1616.0,1906.58,2309.77,8.0,60,100.0,Power,ACCUMULATION,3,CAUTION,STOPPED,2026-04-22,1616.0,Stop Loss Hit,-2.5
2026-04-22,12:01,Last30Min_ATH,Last 30 Min ATH,NTPC,BUY,405.4,405.4,393.2,449.78,521.6,8.0,60,96.0,Power,ACCUMULATION,3,CAUTION,STOPPED,2026-04-22,393.2,Stop Loss Hit,-3.01
2026-04-22,12:01,Last30Min_ATH,Last 30 Min ATH,SCHAEFFLER,BUY,4288.8,4288.8,4152.0,4494.0,4630.8,2.5,58,84.0,Automobile and Auto Components,ACCUMULATION,3,CAUTION,STOPPED,2026-04-22,4152.0,Stop Loss Hit,-3.19
2026-04-22,12:01,Failed_Breakout_Short,Failed Breakout Short,PAGEIND,SHORT,37855.0,37855.0,38801.61,36435.08,35488.47,2.5,62,81.0,Textiles,ACCUMULATION,3,CAUTION,TARGET,2026-04-22,36435.08,Target 1 Hit,3.75
2026-04-22,12:01,Failed_Breakout_Short,Failed Breakout Short,ITC,SHORT,305.5,305.5,312.65,294.78,287.63,2.5,62,50.0,Fast Moving Consumer Goods,ACCUMULATION,3,CAUTION,OPEN,,,,
2026-04-22,12:01,Failed_Breakout_Short,Failed Breakout Short,ALKEM,SHORT,5627.0,5627.0,5782.35,5393.98,5238.63,2.5,62,55.0,Healthcare,ACCUMULATION,3,CAUTION,OPEN,,,,
2026-04-22,12:01,Failed_Breakout_Short,Failed Breakout Short,JSWSTEEL,SHORT,1263.4,1263.4,1306.56,1198.66,1155.5,2.5,62,73.0,Metals & Mining,ACCUMULATION,3,CAUTION,TARGET,2026-04-22,1198.66,Target 1 Hit,5.12
2026-04-22,12:01,Failed_Breakout_Short,Failed Breakout Short,BRITANNIA,SHORT,5729.5,5729.5,5972.6,5364.85,5121.75,2.5,57,55.0,Fast Moving Consumer Goods,ACCUMULATION,3,CAUTION,OPEN,,,,
2026-04-22,12:01,Failed_Breakout_Short,Failed Breakout Short,APOLLOHOSP,SHORT,7662.0,7662.0,7853.27,7375.09,7183.82,2.5,57,72.0,Healthcare,ACCUMULATION,3,CAUTION,OPEN,,,,
2026-04-22,12:01,Failed_Breakout_Short,Failed Breakout Short,TCS,SHORT,2538.5,2538.5,2634.27,2394.85,2348.0,2.0,62,19.0,Information Technology,ACCUMULATION,3,CAUTION,OPEN,,,,
