Date,Time,Strategy,Strategy_Name,Symbol,Signal,CMP,Entry,SL,T1,T2,RR,Confidence,SQI,SQI_Grade,RS,Sector,Regime,Regime_Score,Regime_Fit,Data_Quality,Status,Exit_Date,Exit_Price,Exit_Reason,PnL_Pct
2026-07-21,12:19,VCP,VCP (Minervini v2),ADANIENT,BUY,3182.7,3245.0,2997.74,3811.85,4729.1,6.0,43,43.5,WEAK,100.0,Metals & Mining,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,12:19,EMA21_Bounce,21 EMA Bounce,PIDILITIND,BUY,1591.3,1591.3,1553.76,1647.61,1741.84,4.0,55,52.7,MODERATE,81.0,Chemicals,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,12:19,EMA21_Bounce,21 EMA Bounce,ADANIGREEN,BUY,1541.9,1541.9,1495.99,1610.77,1631.5,2.0,50,46.6,WEAK,100.0,Power,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-07-22,1495.99,Stop Loss Hit,-2.98
2026-07-21,12:19,EMA21_Bounce,21 EMA Bounce,INDHOTEL,BUY,731.6,731.6,707.46,767.81,791.95,2.5,50,46.1,WEAK,84.0,Consumer Services,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,12:19,EMA21_Bounce,21 EMA Bounce,AUROPHARMA,BUY,1579.7,1579.7,1527.58,1657.88,1711.15,2.5,50,44.0,WEAK,77.0,Healthcare,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-07-22,1527.58,Stop Loss Hit,-3.3
2026-07-21,12:19,EMA21_Bounce,21 EMA Bounce,STARHEALTH,BUY,588.65,588.65,570.72,615.54,633.47,2.5,50,43.6,WEAK,83.0,Financial Services,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,12:19,EMA21_Bounce,21 EMA Bounce,GRASIM,BUY,3179.8,3179.8,3105.27,3291.6,3459.63,3.8,50,42.6,WEAK,85.0,Construction Materials,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-07-23,3105.27,Stop Loss Hit,-2.34
2026-07-21,12:19,EMA21_Bounce,21 EMA Bounce,SCHAEFFLER,BUY,4180.1,4180.1,4071.04,4343.69,4452.75,2.5,50,42.4,WEAK,48.0,Automobile and Auto Components,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-07-23,4071.04,Stop Loss Hit,-2.61
2026-07-21,12:19,EMA21_Bounce,21 EMA Bounce,MOTHERSON,BUY,145.22,145.22,141.38,150.98,154.82,2.5,45,42.1,WEAK,85.0,Automobile and Auto Components,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,12:19,EMA21_Bounce,21 EMA Bounce,GAIL,BUY,173.99,173.99,170.68,178.96,182.27,2.5,50,40.9,WEAK,63.0,Oil Gas & Consumable Fuels,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,12:19,EMA21_Bounce,21 EMA Bounce,CUMMINSIND,BUY,5583.0,5583.0,5436.19,5803.22,5950.03,2.5,50,39.6,WEAK,68.0,Capital Goods,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,12:19,EMA21_Bounce,21 EMA Bounce,ADANIPORTS,BUY,1846.5,1846.5,1808.17,1904.0,2004.96,4.1,50,39.2,WEAK,87.0,Services,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-07-23,1808.17,Stop Loss Hit,-2.08
2026-07-21,12:19,EMA21_Bounce,21 EMA Bounce,JSWSTEEL,BUY,1267.4,1267.4,1230.02,1323.47,1360.85,2.5,45,39.0,WEAK,56.0,Metals & Mining,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,12:19,EMA21_Bounce,21 EMA Bounce,FORTIS,BUY,969.0,969.0,941.61,1010.08,1037.47,2.5,50,33.4,WEAK,62.0,Healthcare,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-07-23,941.61,Stop Loss Hit,-2.83
2026-07-21,12:19,EMA21_Bounce,21 EMA Bounce,TORNTPOWER,BUY,1435.9,1435.9,1402.57,1485.9,1519.23,2.5,50,29.5,WEAK,23.0,Power,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,12:19,52WH_Breakout,52-Week High Breakout,INDUSINDBK,BUY,1063.45,1063.45,1024.44,1183.75,1378.41,8.0,37,54.4,MODERATE,100.0,Financial Services,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-07-23,1024.44,Stop Loss Hit,-3.67
2026-07-21,12:19,52WH_Breakout,52-Week High Breakout,MANAPPURAM,BUY,351.75,351.75,342.17,394.52,463.72,8.0,37,44.1,WEAK,97.0,Financial Services,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,12:19,Last30Min_ATH,Near 52W High (EOD),INDUSINDBK,BUY,1063.45,1063.45,1031.45,1183.75,1378.41,8.0,39,55.7,MODERATE,100.0,Financial Services,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-07-23,1031.45,Stop Loss Hit,-3.01
2026-07-21,12:19,Last30Min_ATH,Near 52W High (EOD),MANAPPURAM,BUY,351.75,351.75,337.55,394.52,463.72,7.9,39,45.5,WEAK,97.0,Financial Services,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,12:19,Last30Min_ATH,Near 52W High (EOD),PIDILITIND,BUY,1591.3,1591.3,1569.5,1626.7,1741.84,6.9,37,45.3,WEAK,81.0,Chemicals,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-07-22,1569.5,Stop Loss Hit,-1.37
2026-07-21,12:19,Last30Min_ATH,Near 52W High (EOD),SONACOMS,BUY,732.75,732.75,715.05,843.25,1022.06,8.0,35,42.3,WEAK,100.0,Automobile and Auto Components,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-07-23,715.05,Stop Loss Hit,-2.42
2026-07-21,12:19,Failed_Breakout_Short,Failed Breakout Short,BAJAJ-AUTO,SHORT,10403.5,10403.5,10623.56,10073.41,9853.35,2.5,80,55.3,MODERATE,74.0,Automobile and Auto Components,DISTRIBUTION,-1,IDEAL,OK,STOPPED,2026-07-22,10623.56,Stop Loss Hit,-2.12
2026-07-21,12:19,Failed_Breakout_Short,Failed Breakout Short,RELIANCE,SHORT,1303.7,1303.7,1352.83,1230.01,1180.88,2.5,72,53.1,MODERATE,50.0,Oil Gas & Consumable Fuels,DISTRIBUTION,-1,IDEAL,OK,OPEN,,,,
2026-07-21,15:24,VCP,VCP (Minervini v2),CCL,BUY,1205.2,1242.2,1156.49,1370.76,1564.51,3.8,44,44.9,WEAK,73.0,Fast Moving Consumer Goods,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,15:24,VCP,VCP (Minervini v2),MEDANTA,BUY,1342.6,1369.7,1289.42,1490.12,1528.9,2.0,49,41.0,WEAK,95.0,Healthcare,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,15:24,VCP,VCP (Minervini v2),RAINBOW,BUY,1483.7,1508.15,1389.73,1685.78,1804.2,2.5,47,40.1,WEAK,93.0,Healthcare,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,15:24,VCP,VCP (Minervini v2),JSWCEMENT,BUY,140.97,143.4,132.64,159.54,161.55,1.7,36,36.2,WEAK,82.0,Construction Materials,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,15:24,EMA21_Bounce,21 EMA Bounce,PIRAMALFIN,BUY,2182.6,2182.6,2098.75,2308.38,2392.23,2.5,50,58.9,MODERATE,89.0,Financial Services,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-07-23,2098.75,Stop Loss Hit,-3.84
2026-07-21,15:24,EMA21_Bounce,21 EMA Bounce,SYRMA,BUY,1374.4,1374.4,1290.3,1500.55,1584.65,2.5,45,54.6,MODERATE,100.0,Capital Goods,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,15:24,EMA21_Bounce,21 EMA Bounce,MEDANTA,BUY,1342.6,1342.6,1301.59,1404.11,1445.12,2.5,50,53.3,MODERATE,95.0,Healthcare,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,15:24,EMA21_Bounce,21 EMA Bounce,CCL,BUY,1205.2,1205.2,1172.25,1254.62,1287.57,2.5,50,53.2,MODERATE,73.0,Fast Moving Consumer Goods,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,15:24,EMA21_Bounce,21 EMA Bounce,MINDACORP,BUY,681.15,681.15,657.79,716.19,739.55,2.5,45,52.8,MODERATE,100.0,Automobile and Auto Components,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-07-23,657.79,Stop Loss Hit,-3.43
2026-07-21,15:24,EMA21_Bounce,21 EMA Bounce,GLAND,BUY,2482.4,2482.4,2377.99,2639.02,2743.43,2.5,50,52.6,MODERATE,100.0,Healthcare,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-07-22,2377.99,Stop Loss Hit,-4.21
2026-07-21,15:24,EMA21_Bounce,21 EMA Bounce,WELSPUNLIV,BUY,166.04,166.04,157.59,178.71,187.16,2.5,50,52.0,MODERATE,100.0,Textiles,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,15:24,EMA21_Bounce,21 EMA Bounce,RRKABEL,BUY,2345.4,2345.4,2243.14,2498.79,2549.0,2.0,50,51.6,MODERATE,100.0,Capital Goods,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,15:24,EMA21_Bounce,21 EMA Bounce,PWL,BUY,133.84,133.84,128.85,159.43,161.06,5.5,50,50.4,MODERATE,98.0,Consumer Services,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,15:24,EMA21_Bounce,21 EMA Bounce,HONAUT,BUY,38575.0,38575.0,37763.05,39792.92,40365.87,2.2,45,48.9,WEAK,90.0,Capital Goods,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-07-23,37763.05,Stop Loss Hit,-2.1
2026-07-21,15:24,EMA21_Bounce,21 EMA Bounce,ELGIEQUIP,BUY,601.0,601.0,576.72,637.42,661.7,2.5,55,45.2,WEAK,74.0,Capital Goods,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-07-23,576.72,Stop Loss Hit,-4.04
2026-07-21,15:24,EMA21_Bounce,21 EMA Bounce,LALPATHLAB,BUY,1700.1,1700.1,1656.12,1766.07,1784.0,1.9,45,43.3,WEAK,95.0,Healthcare,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,15:24,EMA21_Bounce,21 EMA Bounce,ZENTEC,BUY,1818.7,1818.7,1708.92,1983.37,2093.15,2.5,50,42.7,WEAK,70.0,Capital Goods,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,15:24,EMA21_Bounce,21 EMA Bounce,MEESHO,BUY,191.58,191.58,179.91,209.09,220.76,2.5,50,41.9,WEAK,65.0,Consumer Services,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,15:24,EMA21_Bounce,21 EMA Bounce,THERMAX,BUY,4841.0,4841.0,4607.74,5190.89,5424.15,2.5,45,41.0,WEAK,96.0,Capital Goods,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-07-23,4607.74,Stop Loss Hit,-4.82
2026-07-21,15:24,EMA21_Bounce,21 EMA Bounce,BELRISE,BUY,236.76,236.76,227.96,249.96,258.76,2.5,50,40.7,WEAK,76.0,Automobile and Auto Components,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-07-22,227.96,Stop Loss Hit,-3.72
2026-07-21,15:24,EMA21_Bounce,21 EMA Bounce,SPLPETRO,BUY,726.3,726.3,689.85,780.97,817.42,2.5,55,40.7,WEAK,34.0,Chemicals,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,15:24,EMA21_Bounce,21 EMA Bounce,KPIL,BUY,1341.7,1341.7,1306.61,1394.34,1405.2,1.8,50,37.8,WEAK,71.0,Construction,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-07-23,1306.61,Stop Loss Hit,-2.62
2026-07-21,15:24,EMA21_Bounce,21 EMA Bounce,RKFORGE,BUY,576.3,576.3,553.21,610.93,634.02,2.5,55,37.8,WEAK,64.0,Automobile and Auto Components,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,15:24,EMA21_Bounce,21 EMA Bounce,GROWW,BUY,206.36,206.36,198.04,218.84,220.98,1.8,50,29.0,WEAK,42.0,Financial Services,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,15:24,52WH_Breakout,52-Week High Breakout,AJANTPHARM,BUY,3575.3,3575.3,3457.32,4079.16,4894.46,8.0,37,49.9,WEAK,100.0,Healthcare,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-07-22,3457.32,Stop Loss Hit,-3.3
2026-07-21,15:24,52WH_Breakout,52-Week High Breakout,GABRIEL,BUY,1488.5,1488.5,1422.53,1587.46,1805.47,4.8,42,43.4,WEAK,100.0,Automobile and Auto Components,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-07-22,1422.53,Stop Loss Hit,-4.43
2026-07-21,15:24,52WH_Breakout,52-Week High Breakout,FLUOROCHEM,BUY,4607.1,4607.1,4259.93,5389.55,6655.65,5.9,42,43.4,WEAK,100.0,Chemicals,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,15:24,52WH_Breakout,52-Week High Breakout,KARURVYSYA,BUY,340.3,340.3,305.96,391.81,426.15,2.5,37,42.9,WEAK,84.0,Financial Services,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
2026-07-21,15:24,52WH_Breakout,52-Week High Breakout,HSCL,BUY,800.9,800.9,772.27,843.84,962.84,5.7,32,37.4,WEAK,100.0,Chemicals,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-07-22,772.27,Stop Loss Hit,-3.57
2026-07-21,15:24,Last30Min_ATH,Near 52W High (EOD),AJANTPHARM,BUY,3575.3,3575.3,3454.0,4079.16,4894.46,8.0,39,51.2,MODERATE,100.0,Healthcare,DISTRIBUTION,-1,BLOCKED,OK,STOPPED,2026-07-22,3454.0,Stop Loss Hit,-3.39
2026-07-21,15:24,Last30Min_ATH,Near 52W High (EOD),CHENNPETRO,BUY,1258.1,1258.1,1218.1,1318.1,1434.23,4.4,35,46.7,WEAK,96.0,Oil Gas & Consumable Fuels,DISTRIBUTION,-1,BLOCKED,OK,TARGET,2026-07-23,1318.1,Target 1 Hit,4.77
2026-07-21,15:24,Last30Min_ATH,Near 52W High (EOD),LENSKART,BUY,549.05,549.05,542.0,560.75,563.0,2.0,37,45.7,WEAK,59.0,Consumer Services,DISTRIBUTION,-1,BLOCKED,OK,TARGET,2026-07-22,560.75,Target 1 Hit,2.13
2026-07-21,15:24,Last30Min_ATH,Near 52W High (EOD),FLUOROCHEM,BUY,4607.1,4607.1,4321.1,5389.55,6655.65,7.2,39,44.7,WEAK,100.0,Chemicals,DISTRIBUTION,-1,BLOCKED,OK,OPEN,,,,
