Date,Time,Strategy,Strategy_Name,Symbol,Signal,CMP,Entry,SL,T1,T2,RR,Confidence,SQI,SQI_Grade,RS,Sector,Regime,Regime_Score,Regime_Fit,Data_Quality,Status,Exit_Date,Exit_Price,Exit_Reason,PnL_Pct
2026-06-16,15:48,VCP,VCP (Minervini v2),POLYCAB,BUY,9591.5,9833.0,9273.9,11775.06,14917.56,8.0,81,65.1,STRONG,100.0,Capital Goods,ACCUMULATION,2,IDEAL,OK,OPEN,,,,
2026-06-16,15:48,EMA21_Bounce,21 EMA Bounce,METROPOLIS,BUY,534.15,534.15,515.29,562.44,581.3,2.5,65,77.9,STRONG,82.0,Pharma,ACCUMULATION,2,CAUTION,OK,TARGET,2026-06-25,562.44,Target 1 Hit,5.3
2026-06-16,15:48,EMA21_Bounce,21 EMA Bounce,ADANIPORTS,BUY,1822.0,1822.0,1765.56,1906.66,2151.97,5.8,60,71.3,STRONG,100.0,Services,ACCUMULATION,2,CAUTION,OK,OPEN,,,,
2026-06-16,15:48,EMA21_Bounce,21 EMA Bounce,LICHSGFIN,BUY,552.8,552.8,540.68,570.98,583.1,2.5,60,61.2,MODERATE,69.0,Financial Services,ACCUMULATION,2,CAUTION,OK,STOPPED,2026-06-23,540.68,Stop Loss Hit,-2.19
2026-06-16,15:48,EMA21_Bounce,21 EMA Bounce,DIVISLAB,BUY,6712.5,6712.5,6497.54,7034.94,7249.9,2.5,60,58.9,MODERATE,70.0,Healthcare,ACCUMULATION,2,CAUTION,OK,OPEN,,,,
2026-06-16,15:48,EMA21_Bounce,21 EMA Bounce,ABB,BUY,7021.0,7021.0,6831.03,7327.0,7340.0,1.7,55,57.5,MODERATE,76.0,Capital Goods,ACCUMULATION,2,CAUTION,OK,OPEN,,,,
2026-06-16,15:48,EMA21_Bounce,21 EMA Bounce,SCHAEFFLER,BUY,4163.0,4163.0,3969.53,4453.2,4646.67,2.5,65,56.6,MODERATE,71.0,Automobile and Auto Components,ACCUMULATION,2,CAUTION,OK,OPEN,,,,
2026-06-16,15:48,EMA21_Bounce,21 EMA Bounce,ASTRAL,BUY,1564.0,1564.0,1515.02,1637.47,1686.45,2.5,55,48.9,WEAK,42.0,Capital Goods,ACCUMULATION,2,CAUTION,OK,STOPPED,2026-06-25,1515.02,Stop Loss Hit,-3.13
2026-06-16,15:48,52WH_Breakout,52-Week High Breakout,BANDHANBNK,BUY,216.74,216.74,211.46,263.73,339.77,8.0,62,78.7,STRONG,100.0,Financial Services,ACCUMULATION,2,CAUTION,OK,STOPPED,2026-06-19,211.46,Stop Loss Hit,-2.44
2026-06-16,15:48,Last30Min_ATH,Near 52W High (EOD),BANDHANBNK,BUY,216.74,216.74,207.5,263.73,339.77,8.0,64,83.1,ELITE,100.0,Financial Services,ACCUMULATION,2,CAUTION,OK,STOPPED,2026-06-19,207.5,Stop Loss Hit,-4.26
